date,close,open,high,low,volume,ticker,nearest_contract
2021-01-04,255.44,254.6,258.8,254.6,2146.0,G_2021,G_2021
2021-01-05,247.86,251.0,251.0,246.3,3524.0,G_2021,G_2021
2021-01-06,247.38,247.8,248.68,247.2,2614.0,G_2021,G_2021
2021-01-07,255.4,250.0,257.0,250.0,2492.0,G_2021,G_2021
2021-01-08,258.76,259.48,262.3,258.7,1998.0,G_2021,G_2021
2021-01-11,262.6,263.0,265.4,261.0,2590.0,G_2021,G_2021
2021-01-12,273.3,264.0,277.0,263.0,4754.0,G_2021,G_2021
2021-01-13,262.65999999999997,269.0,270.5,261.5,5382.0,G_2021,G_2021
2021-01-14,260.3,262.0,265.2,257.7,3412.0,G_2021,G_2021
2021-01-15,255.78,257.0,258.02,254.0,3880.0,G_2021,G_2021
2021-01-18,249.92000000000002,251.6,251.6,248.5,4330.0,G_2021,G_2021
2021-01-19,254.82,252.2,256.4,251.8,3888.0,G_2021,G_2021
2021-01-20,254.26,261.0,261.2,253.3,4094.0,G_2021,G_2021
2021-01-21,255.04000000000002,252.7,257.4,252.6,3330.0,G_2021,G_2021
2021-01-22,261.3,257.2,262.0,257.0,4658.0,G_2021,G_2021
2021-01-25,258.5,264.5,264.8,257.3,4396.0,G_2021,G_2021
2021-01-26,253.32,255.0,256.3,253.2,5066.0,G_2021,G_2021
2021-01-27,252.14,253.5,253.9,252.0,3068.0,G_2021,G_2021
2021-01-28,259.15999999999997,259.5,261.5,257.9,6292.0,G_2021,G_2021
2021-01-29,247.7,263.0,263.0,257.8,4114.0,G_2021,G_2021
2021-02-01,242.22,244.0,245.3,240.8,4204.0,H_2021,H_2021
2021-02-02,243.74,242.5,244.0,242.0,4706.0,H_2021,H_2021
2021-02-03,243.86,240.8,245.3,240.8,5430.0,H_2021,H_2021
2021-02-04,246.24,245.7,246.4,244.8,3148.0,H_2021,H_2021
2021-02-05,249.32,247.4,250.5,247.4,3978.0,H_2021,H_2021
2021-02-08,252.78,260.8,260.8,252.6,5472.0,H_2021,H_2021
2021-02-09,252.76,251.18,253.3,249.7,3460.0,H_2021,H_2021
2021-02-10,251.98000000000002,251.8,254.0,249.6,4014.0,H_2021,H_2021
2021-02-11,248.94,251.4,252.4,248.5,6578.0,H_2021,H_2021
2021-02-12,248.72,246.0,250.0,245.6,4196.0,H_2021,H_2021
2021-02-15,245.04000000000002,244.3,246.2,244.0,2988.0,H_2021,H_2021
2021-02-16,243.9,243.7,245.3,243.4,2692.0,H_2021,H_2021
2021-02-17,242.84,243.0,244.7,242.0,3774.0,H_2021,H_2021
2021-02-18,243.88,243.9,245.2,243.4,2612.0,H_2021,H_2021
2021-02-19,243.3,243.7,245.1,241.7,2026.0,H_2021,H_2021
2021-02-22,239.34,240.5,241.5,239.0,4468.0,H_2021,H_2021
2021-02-23,239.68,241.2,241.5,239.5,3078.0,H_2021,H_2021
2021-02-24,239.57999999999998,240.0,240.4,239.0,3634.0,H_2021,H_2021
2021-02-25,239.94,241.2,241.2,239.4,3286.0,H_2021,H_2021
2021-02-26,235.4,238.2,240.0,238.2,1946.0,H_2021,H_2021
2021-03-01,234.54000000000002,233.0,235.3,233.0,3112.0,J_2021,J_2021
2021-03-02,234.8,234.01999999999998,235.7,234.01999999999998,1660.0,J_2021,J_2021
2021-03-03,233.94,235.0,235.0,233.76,3150.0,J_2021,J_2021
2021-03-04,234.62,233.9,235.5,233.6,2788.0,J_2021,J_2021
2021-03-05,236.8,234.9,237.8,234.9,1890.0,J_2021,J_2021
2021-03-08,237.34,238.0,238.6,236.7,2412.0,J_2021,J_2021
2021-03-09,240.95999999999998,238.4,243.0,238.4,4010.0,J_2021,J_2021
2021-03-10,244.38,244.0,244.7,242.5,3214.0,J_2021,J_2021
2021-03-11,244.88,245.5,245.78,243.2,3636.0,J_2021,J_2021
2021-03-12,246.88,246.0,247.5,243.3,3412.0,J_2021,J_2021
